GLPostingDate,JobNumber,Amount,GLAccountNumber,ExpenseType
3/29/2016,1,9000.0000,1053,Other
3/29/2016,1,10307.2000,1054,Other
3/29/2016,1,-9000.0000,1054,Other
3/29/2016,1,-2920.1600,1054,Other
3/29/2016,1,-13820.2600,1054,Other
3/29/2016,1,500.6900,2000,Other
3/29/2016,1,1547.4000,2000,Other
3/29/2016,1,1000.0000,2000,Other
3/29/2016,1,9520.0000,2000,Other
3/29/2016,1,2521.8800,2000,Other
3/29/2016,1,398.2800,2000,Other
3/29/2016,1,-4441.8000,2000,Other
3/29/2016,1,-45.4800,2000,Other
3/29/2016,1,464.0400,2000,Other
3/29/2016,1,-21469.0400,2000,Other
3/29/2016,1,-10307.2000,2050,Other
3/29/2016,4500,1252.1700,2270,Other
3/29/2016,4500,1000.0000,4020,Subcontractor Labor
3/29/2016,4501,627.4000,4030,Other
3/29/2016,4501,526.5000,4030,Other
3/29/2016,7007,224.6000,4086,Other
3/29/2016,3025,262.6200,4090,Supplies
3/29/2016,3001,71.4500,4090,Supplies
3/29/2016,3024,-464.0400,4090,Supplies
3/29/2016,4037,22.0000,4090,Supplies
3/29/2016,4037,23.4800,4090,Supplies
3/29/2016,5011,38.2900,4090,Supplies
3/29/2016,3045,7.9200,4090,Supplies
3/29/2016,1003,59.4000,4090,Supplies
3/29/2016,1003,118.8000,4090,Supplies
3/29/2016,1003,94.6800,4090,Supplies
3/29/2016,1062,47.1200,4090,Supplies
3/29/2016,1062,301.8400,4090,Supplies
3/29/2016,3019,18.6600,4090,Supplies
3/29/2016,3019,37.8400,4090,Supplies
3/29/2016,3019,189.3600,4090,Supplies
3/29/2016,3019,4.9200,4090,Supplies
3/29/2016,3001,40.7300,4090,Supplies
3/29/2016,3001,83.5000,4090,Supplies
3/29/2016,3001,48.1900,4090,Supplies
3/29/2016,3001,18.6600,4090,Supplies
3/29/2016,3001,141.3600,4090,Supplies
3/29/2016,3001,75.6800,4090,Supplies
3/29/2016,3001,145.0000,4090,Supplies
3/29/2016,3001,98.0000,4090,Supplies
3/29/2016,3001,789.0000,4090,Supplies
3/29/2016,3001,1.2300,4090,Supplies
3/29/2016,3001,46.5700,4090,Supplies
3/29/2016,3001,49.0000,4090,Supplies
3/29/2016,3003,106.7600,4090,Supplies
3/29/2016,3003,280.8000,4090,Supplies
3/29/2016,3045,490.8000,4090,Supplies
3/29/2016,4500,1161.0000,4120,Other
3/29/2016,4500,19.0700,4125,Other
3/29/2016,7007,125.0000,4127,Other
3/29/2016,4500,42.3800,4127,Other
3/29/2016,4500,438.9800,4133,Employee Entertainment
3/29/2016,3045,16.9600,4133,Employee Entertainment
3/29/2016,3025,67.7200,4133,Employee Entertainment
3/29/2016,1003,300.8400,4180,Other
3/29/2016,4500,88.6700,4200,Vehicle Maintenance
3/29/2016,4500,10.0000,4205,Vehicle Gas & Oil
3/29/2016,7007,14.0000,4211,Parking
3/29/2016,4500,900.0000,4211,Parking
3/29/2016,1003,13.0000,4211,Parking
3/29/2016,5017,368.1000,4245,Other
3/29/2016,4500,12.8400,4260,Other
3/29/2016,4500,564.0900,4315,Other
3/29/2016,4500,17.2300,4510,Other
3/29/2016,4500,1424.9200,4540,Other
3/29/2016,1003,13.1100,4540,Other
3/29/2016,4500,837.4000,4570,Other
3/29/2016,9004,569.5200,4640,Other
3/29/2016,4500,231.9000,4649,Other
3/29/2016,4500,96.7700,4665,Other
3/29/2016,4500,65.9900,4670,Other
3/29/2016,4500,610.8700,4675,Other
3/29/2016,4500,1431.3100,4678,Other
3/29/2016,3001,7500.0000,4685,Other
3/29/2016,4500,166.3800,4690,Other
3/29/2016,4500,2081.7700,4695,Other
3/29/2016,4500,59.2900,4710,Other
3/29/2016,4500,290.1800,4715,Other
3/29/2016,4500,134.0000,4717,Other
3/29/2016,4500,190.8700,4718,Other
3/30/2016,1,13000.0000,1053,Other
3/30/2016,1,-592.7000,1053,Other
3/30/2016,1,-221.6400,1053,Other
3/30/2016,1,31410.7400,1054,Other
3/30/2016,1,-13000.0000,1054,Other
3/30/2016,1,10306.3800,1054,Other
3/30/2016,1,-1013.1800,1054,Other
3/30/2016,1,-8011.4200,1100,Other
3/30/2016,1,1296.6400,1100,Other
3/30/2016,1,-2294.9600,1100,Other
3/30/2016,1,21469.0400,2000,Other
3/30/2016,1,-57.0000,2000,Other
3/30/2016,1,219.2400,2000,Other
3/30/2016,1,-4780.0700,2000,Other
3/30/2016,1,-750.0000,2000,Other
3/30/2016,1,-31410.7400,2050,Other
3/30/2016,1,-21469.0400,2075,Other
3/30/2016,1,-42.2600,2130,Other
3/30/2016,1,-3.4800,2209,Other
3/30/2016,1,-9.3100,2209,Other
3/30/2016,1,-39.7900,2210,Other
3/30/2016,1,-14.8800,2210,Other
3/30/2016,1,240.0000,2299,Other
3/30/2016,1,641.8000,2299,Other
3/30/2016,1038,-275.0000,3010,Other
3/30/2016,1038,-275.0000,3010,Other
3/30/2016,4500,3856.8600,3010,Other
3/30/2016,4500,-3856.8600,3020,Other
3/30/2016,5011,-704.3800,3040,Other
3/30/2016,4500,1147.6100,4020,Subcontractor Labor
3/30/2016,3024,516.6600,4020,Subcontractor Labor
3/30/2016,4500,57.5400,4090,Supplies
3/30/2016,4500,136.8000,4090,Supplies
3/30/2016,3016,510.0000,4090,Supplies
3/30/2016,3016,74.6500,4090,Supplies
3/30/2016,3016,49.2700,4090,Supplies
3/30/2016,1041,29.7000,4090,Supplies
3/30/2016,3016,14.9500,4090,Supplies
