BudgetDate,GLAccountNumber,JobNumber,DailyBudgetID,BudgetedDollars,FICA,FUTA,SUTA,WorkmansCompensation,Medicare
10/25/2016,4000,3034,24564,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
10/26/2016,4000,3034,24565,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
10/27/2016,4000,3034,24566,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
10/28/2016,4000,3034,24567,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
10/30/2016,4000,3034,24568,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
10/31/2016,4000,3034,24569,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/1/2016,4000,3034,24570,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/2/2016,4000,3034,24571,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/3/2016,4000,3034,24572,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/4/2016,4000,3034,24573,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/6/2016,4000,3034,24574,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/7/2016,4000,3034,24575,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/8/2016,4000,3034,24576,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/9/2016,4000,3034,24577,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/10/2016,4000,3034,24578,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/11/2016,4000,3034,24579,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/13/2016,4000,3034,24580,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/14/2016,4000,3034,24581,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/15/2016,4000,3034,24582,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/16/2016,4000,3034,24583,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/17/2016,4000,3034,24584,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/18/2016,4000,3034,24585,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/20/2016,4000,3034,24586,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/21/2016,4000,3034,24587,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/22/2016,4000,3034,24588,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/23/2016,4000,3034,24589,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/24/2016,4000,3034,24590,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/25/2016,4000,3034,24591,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/27/2016,4000,3034,24592,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/28/2016,4000,3034,24593,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/29/2016,4000,3034,24594,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
11/30/2016,4000,3034,24595,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/1/2016,4000,3034,24596,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/2/2016,4000,3034,24597,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/4/2016,4000,3034,24598,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/5/2016,4000,3034,24599,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/6/2016,4000,3034,24600,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/7/2016,4000,3034,24601,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/8/2016,4000,3034,24602,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/9/2016,4000,3034,24603,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/11/2016,4000,3034,24604,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
12/12/2016,4000,3034,24605,38.2500,2.3700,0.2300,1.5800,1.8900,0.5600
