JobNumber,Period,actual_total
1,1,23625.0900
1,2,8425.0000
1,3,8500.0000
1,4,8500.0000
1,5,-36591.7000
1,7,300.0000
1,10,0.0000
1000,1,-8458.9200
1000,2,25.4300
1000,3,-730.2700
1000,6,55.0000
1000,9,214.8400
1003,1,-2040.2000
1003,2,-1999.1600
1003,3,1088.2900
1003,4,499.9500
1003,5,-2380.9900
1003,6,-5573.1600
1003,7,-2423.1600
1003,8,-6278.7500
1003,9,-6410.2600
1003,10,-10325.8600
1003,11,-18500.7100
1007,1,-197.6400
1007,2,-426.3100
1007,3,-148.3100
1007,4,-64.0000
1007,5,8.5900
1007,6,189.6300
1008,1,-957.7600
1008,2,-1402.3700
1008,3,-833.9200
1008,4,-428.3200
1008,5,-832.0100
1008,6,-920.5400
1008,7,-1219.2500
1008,8,-128.7100
1009,1,-970.6800
1009,2,-793.1700
1009,3,-759.6400
1009,4,-838.1600
1009,5,-817.6500
1009,6,-835.6300
1009,7,-996.3500
1009,8,-166.0700
1010,1,589.5900
1010,2,-2306.2000
1010,3,1601.0000
1010,4,1309.2200
1010,5,1242.7500
1010,6,1274.0300
1010,7,1438.7500
1010,8,-173.9100
1010,9,-667.0000
1010,10,-667.0000
1010,11,-667.0000
1011,1,-1917.7200
1011,2,-1041.8300
1011,3,-2538.0800
1011,4,-2286.9600
1011,5,-2234.4100
1011,6,-2343.1100
1011,7,-2497.3000
1011,8,-482.2100
1012,1,-520.7800
1012,2,-663.5700
1012,3,-629.7200
1012,4,-678.9800
1012,5,-539.3200
1012,6,-484.8000
1012,7,-800.4200
1012,8,-617.4200
1012,9,-706.5100
1012,10,-953.8300
1012,11,-1491.8100
1025,1,-1926.2100
1025,2,-981.7900
1025,3,-819.2700
1025,4,-933.0900
1025,5,-788.3200
1025,6,-957.6500
1025,7,-773.7400
1025,8,-1162.9800
1025,9,-930.9800
1025,10,-1079.5300
1025,11,-1925.8100
1027,1,-845.8400
1027,2,-833.0500
1027,3,-820.0200
1027,4,-1173.5500
1027,5,-1050.1600
1027,6,-1116.5200
1027,7,-1101.4300
1027,8,-1103.3500
1027,9,-72.3100
1032,1,-2518.3400
1032,2,-2464.8200
1032,3,-2184.5800
1032,4,-2516.4900
1032,5,-2000.8800
1032,6,-2470.0600
1032,7,-2071.5900
1032,8,-2685.8400
1032,9,-2567.2700
1032,10,-2621.4200
1032,11,-3973.1800
1033,1,719.5500
1033,2,-593.4200
1033,3,237.3400
1033,4,-304.1200
1033,5,756.1000
1033,6,-80.0300
1033,7,647.7700
1033,8,-1509.8900
1033,9,-166.0800
1033,10,-108.9000
1033,11,-4618.7800
1034,1,-1369.5600
1034,2,-1145.9300
1034,3,5.4100
1034,4,-1078.4700
1034,5,69.3100
1034,6,-364.1700
1034,7,-155.9300
1034,8,-529.8600
1034,9,-404.0800
1034,10,-382.8200
1034,11,-1337.1800
1035,1,-304.1100
1035,2,-374.9700
1035,3,-354.1900
1035,4,-420.8700
1035,5,-61.7100
1035,6,306.5200
1035,7,-817.6100
1035,8,-1218.4900
1035,9,-1287.3000
1035,10,-1064.8900
1035,11,-1765.5400
1037,1,-844.4200
1037,2,-163.0000
1037,3,-778.0700
1037,4,-786.7100
1037,5,-994.0700
1037,6,-926.7900
1037,7,-855.0900
1037,8,-946.3800
1037,9,-902.5900
1037,10,-801.8900
1037,11,-1223.1300
1038,1,-1200.0000
1038,3,-550.0000
1038,4,-820.3000
1038,6,89.2500
1038,7,-3161.5800
1040,2,857.3700
1040,3,1245.9600
1041,1,176.8900
1041,2,-48.0300
1041,3,-1503.0400
1041,4,-252.5100
1041,5,-219.1000
1041,6,134.2500
1041,7,46.0200
1041,8,517.3300
1041,9,506.1600
1041,10,217.8200
1041,11,-402.6600
1051,1,239.3700
1051,2,1305.3000
1051,3,1216.4200
1051,4,-449.7200
1051,5,873.1500
1051,6,-869.1700
1051,7,-531.3600
1051,8,-1353.4300
1051,9,-79.8200
1051,10,-696.0100
1051,11,-2329.8400
1052,1,-10900.0000
1052,2,-10900.0000
1052,3,-10900.0000
1053,1,-2719.3300
1053,2,-2175.2900
1053,3,-1976.8700
1053,4,-2233.6200
1053,5,-2005.3300
1053,6,-2122.2000
1053,7,-1698.0400
1053,8,-2971.0700
