EmployeeNumber,JobNumber,WorkDate,Hours,Lunch,PayRate,OvertimeHours
2501,3000,4/27/2016,4.4800,0.0000,8.0500,0.0000
2537,3037,4/27/2016,4.7000,0.5000,11.0000,0.0000
2908,5011,4/27/2016,1.9000,0.0000,10.0000,0.0000
2955,4040,4/27/2016,3.0500,0.0000,13.0000,0.0000
3079,3000,4/27/2016,6.5300,0.5000,9.0000,0.0000
9009,5013,4/27/2016,5.1000,0.0000,12.0000,0.0000
9025,5013,4/27/2016,5.0500,0.0000,10.0000,0.0000
9074,5013,4/27/2016,2.8300,0.0000,8.5000,0.0000
9074,5013,4/27/2016,1.3300,0.0000,8.5000,0.0000
186,1003,4/27/2016,8.0000,0.5000,11.0000,0.0000
357,1003,4/27/2016,8.0000,0.5000,8.5000,0.0000
610,3000,4/27/2016,6.5300,0.5000,8.0500,0.0000
618,3000,4/27/2016,6.5300,0.5000,8.0500,0.0000
657,3000,4/27/2016,8.0000,0.5000,11.5000,0.0000
676,3000,4/27/2016,6.5000,0.5000,8.0500,0.0000
801,3000,4/27/2016,7.9300,0.5000,9.0000,0.0000
811,9001,4/27/2016,8.0200,1.0000,10.0000,0.0000
827,3012,4/27/2016,8.1300,0.5000,8.0500,0.0000
841,3012,4/27/2016,8.0700,0.5000,13.0000,0.0000
854,3012,4/27/2016,6.5200,0.5000,8.0500,0.0000
893,3012,4/27/2016,7.9200,0.5000,8.0500,0.0000
1002,3027,4/27/2016,8.1500,0.5000,8.7500,0.0000
1065,3000,4/27/2016,8.5000,0.5000,8.0500,0.0000
1067,3012,4/27/2016,8.0000,0.5000,8.0500,0.0000
1092,3000,4/27/2016,6.5200,0.5000,8.0500,0.0000
1170,3025,4/27/2016,8.0800,0.5000,9.0000,0.0000
1185,3027,4/27/2016,8.2000,0.5000,8.7500,0.0000
1217,3027,4/27/2016,8.1800,0.5000,8.7500,0.0000
1252,3027,4/27/2016,8.2000,0.5000,8.7500,0.0000
1295,3027,4/27/2016,3.9500,0.0000,8.7500,0.0000
1362,1025,4/27/2016,8.0000,0.5000,8.5000,0.0000
1382,3008,4/27/2016,7.9800,0.5000,8.0500,0.0000
1436,3012,4/27/2016,8.0000,0.5000,8.0500,0.0000
1462,3000,4/27/2016,7.2500,0.5000,8.0500,0.0000
1610,3025,4/27/2016,7.0300,0.5000,8.0500,0.0000
1788,4500,4/27/2016,7.5200,0.5000,15.0000,0.0000
1884,4037,4/27/2016,8.0800,0.5000,9.0000,0.0000
1911,3008,4/27/2016,7.9300,0.5000,10.0000,0.0000
1957,3000,4/27/2016,6.5700,0.5000,8.0500,0.0000
1969,1066,4/27/2016,8.4000,0.5000,9.0000,0.0000
1991,3008,4/27/2016,8.0000,0.5000,8.0500,0.0000
2089,3000,4/27/2016,6.7000,0.5000,8.0500,0.0000
2136,4500,4/27/2016,4.6800,0.0000,12.0000,0.0000
2200,3000,4/27/2016,7.5000,0.5000,8.0500,0.0000
2215,3037,4/27/2016,7.9800,0.5000,8.7500,0.0000
2245,3000,4/27/2016,8.0000,0.5000,8.0500,0.0000
