EmployeeNumber,JobNumber,WorkDate,Hours,Lunch,PayRate,OvertimeHours
3142,4500,7/7/2016,8.0000,,12.5000,0.0000
9039,5013,7/7/2016,4.0800,0.0000,12.0000,0.0000
9058,5013,7/7/2016,5.0300,0.5000,8.5000,0.0000
9061,5013,7/7/2016,4.8500,0.0000,8.5000,0.0000
9006,5014,7/7/2016,2.6000,0.0000,8.0500,0.0000
9007,5014,7/7/2016,3.9200,0.0000,7.0000,0.0000
9013,5014,7/7/2016,8.8300,1.0000,8.3000,0.0000
9017,5014,7/7/2016,4.6500,0.5000,15.0000,0.0000
9027,5014,7/7/2016,6.5000,0.5000,6.0000,0.0000
9042,5014,7/7/2016,7.6800,0.5000,12.0000,0.0000
9060,5014,7/7/2016,5.9700,0.5000,6.0000,0.0000
9071,5014,7/7/2016,8.1000,0.5000,12.0000,0.0000
9076,5014,7/7/2016,8.1700,0.5000,10.0000,0.0000
9079,5014,7/7/2016,9.2700,1.0000,11.0000,0.0000
2850,5011,7/7/2016,0.0000,0.0000,,0.0000
2341,903000,7/7/2016,5.1300,0.5000,8.0500,0.0000
1961,903000,7/7/2016,5.1000,0.5000,8.0500,0.0000
2589,3020,7/7/2016,3.0000,0.0000,8.0500,0.0000
851,3031,7/7/2016,6.5000,0.5000,10.0000,0.0000
1496,3004,7/7/2016,8.1200,0.5000,12.0000,0.0000
2187,903000,7/7/2016,6.6000,0.5000,8.0500,0.0000
379,5000,7/7/2016,8.0800,1.0000,16.7000,0.0000
3082,3036,7/7/2016,4.0000,0.0000,8.0500,0.0000
3043,3045,7/7/2016,8.0000,,13.5000,0.0000
3049,3045,7/7/2016,8.0000,,8.5000,0.0000
2176,3008,7/7/2016,6.0000,,8.0500,0.0000
2999,3045,7/7/2016,8.0000,,8.5000,0.0000
3071,3045,7/7/2016,8.0000,,8.5000,0.0000
2965,3045,7/7/2016,8.0000,,8.5000,0.0000
3001,3045,7/7/2016,8.5000,,8.5000,0.0000
1036,1012,7/7/2016,5.0000,,10.5000,0.0000
3088,7009,7/7/2016,8.0000,,15.0000,0.0000
1989,3015,7/7/2016,8.0000,,8.0500,0.0000
1997,6008,7/7/2016,8.0000,,8.0500,0.0000
3005,3045,7/7/2016,8.0000,,8.5000,0.0000
3008,3045,7/7/2016,8.0000,,8.5000,0.0000
3010,3045,7/7/2016,8.0000,,8.5000,0.0000
3120,3045,7/7/2016,8.0000,,8.5000,0.0000
3013,3045,7/7/2016,8.0000,,8.5000,0.0000
3014,3045,7/7/2016,8.0000,,8.5000,0.0000
3009,3045,7/7/2016,8.0000,,8.5000,0.0000
3070,3045,7/7/2016,8.0000,,8.5000,0.0000
1667,6008,7/7/2016,4.0000,,10.0000,0.0000
3110,3045,7/7/2016,8.0000,,8.5000,0.0000
3023,3045,7/7/2016,9.0000,,8.5000,0.0000
3015,3045,7/7/2016,8.0000,,10.0000,0.0000
3087,3045,7/7/2016,8.0000,,12.0000,0.0000
3096,3045,7/7/2016,8.0000,,8.5000,0.0000
1932,1061,7/7/2016,5.0300,0.0000,11.0000,0.0000
2842,3001,7/7/2016,9.1700,0.5000,15.0000,0.0000
2480,4035,7/7/2016,0.0000,0.0000,,0.0000
2480,1038,7/7/2016,2.6700,0.0000,15.0000,0.0000
1366,6008,7/7/2016,6.0000,0.5000,14.0000,0.0000
3125,1038,7/7/2016,2.6700,0.0000,11.0000,0.0000
3047,1057,7/7/2016,4.0000,0.0000,9.0000,0.0000
2848,3043,7/7/2016,0.0000,0.0000,,0.0000
2276,4500,7/7/2016,6.0000,,20.0000,0.0000
2470,4502,7/7/2016,5.0000,,12.0000,0.0000
831,3003,7/7/2016,7.1300,0.5000,8.0500,0.0000
2844,3003,7/7/2016,7.2200,0.5000,8.0500,0.0000
830,3003,7/7/2016,5.6000,0.5000,8.0500,0.0000
3029,3033,7/7/2016,8.0000,,10.0000,0.0000
2702,9003,7/7/2016,5.0000,,9.0000,0.0000
3055,3040,7/7/2016,7.5000,,8.5000,0.0000
3136,3040,7/7/2016,7.5000,,8.5000,0.0000
9009,5013,7/7/2016,4.0000,0.0000,12.0000,0.0000
9025,5013,7/7/2016,5.7500,0.5000,10.0000,0.0000
9064,5013,7/7/2016,5.0800,0.5000,9.0000,0.0000
9070,5013,7/7/2016,5.0000,0.0000,8.5000,0.0000
9044,5013,7/7/2016,2.1800,0.0000,9.0000,0.0000
9077,5014,7/7/2016,4.0000,0.0000,25.0000,0.0000
9016,5014,7/7/2016,8.0000,0.5000,17.3300,0.0000
9075,5014,7/7/2016,8.0000,0.5000,21.6300,0.0000
2136,4500,7/7/2016,8.0000,,12.0000,0.0000
2388,3027,7/7/2016,2.1700,0.0000,15.0000,0.0000
2388,3040,7/7/2016,4.5000,0.0000,15.0000,0.0000
2388,4500,7/7/2016,0.0000,,,0.0000
2662,3033,7/7/2016,8.0000,0.0000,10.0000,0.0000
56,1003,7/7/2016,7.9300,0.5000,8.5000,0.0000
186,1003,7/7/2016,7.9700,0.5000,11.0000,0.0000
357,1003,7/7/2016,7.9700,0.5000,8.5000,0.0000
1826,1003,7/7/2016,7.9500,0.5000,8.4500,0.0000
