JobNumber,Period,BudgetHours,BudgetDollars,fica,futa,suta,WorkmansCompensation,Medicare
1003,1,2016.0000,17715.6000,1098.3000,106.2600,731.6400,877.5900,257.0400
1003,2,2016.0000,17715.6000,1098.3000,106.2600,731.6400,877.5900,257.0400
1003,3,2208.0000,19402.8000,1202.9000,116.3800,801.3200,961.1700,281.5200
1003,4,2016.0000,17715.6000,1098.3000,106.2600,731.6400,877.5900,257.0400
1003,5,1936.0000,17608.8000,1091.6400,105.6000,727.3200,872.3000,255.4200
1003,6,1936.0000,17608.8000,1091.6400,105.6000,727.3200,872.3000,255.4200
1003,7,1848.0000,16808.4000,1042.0200,100.8000,694.2600,832.6500,243.8100
1003,8,2024.0000,18409.2000,1141.2600,110.4000,760.3800,911.9500,267.0300
1003,9,1936.0000,17608.8000,1091.6400,105.6000,727.3200,872.3000,255.4200
1003,10,1680.0000,15388.8000,954.0300,92.4000,635.4600,762.3000,223.2300
1003,11,1760.0000,16121.6000,999.4600,96.8000,665.7200,798.6000,233.8600
1003,12,1760.0000,16121.6000,999.4600,96.8000,665.7200,798.6000,233.8600
1007,1,63.0000,535.5000,33.1800,3.1500,24.3600,26.4600,7.9800
1007,2,63.0000,535.5000,33.1800,3.1500,24.3600,26.4600,7.9800
1007,3,69.0000,586.5000,36.3400,3.4500,26.6800,28.9800,8.7400
1007,4,63.0000,535.5000,33.1800,3.1500,24.3600,26.4600,7.9800
1007,5,66.0000,561.0000,34.7600,3.3000,25.5200,27.7200,8.3600
1007,6,66.0000,561.0000,34.7600,3.3000,25.5200,27.7200,8.3600
1007,7,63.0000,535.5000,33.1800,3.1500,24.3600,26.4600,7.9800
1007,8,69.0000,586.5000,36.3400,3.4500,26.6800,28.9800,8.7400
1007,9,66.0000,561.0000,34.7600,3.3000,25.5200,27.7200,8.3600
1007,10,63.0000,535.5000,33.1800,3.1500,24.3600,26.4600,7.9800
1007,11,66.0000,561.0000,34.7600,3.3000,25.5200,27.7200,8.3600
1007,12,66.0000,561.0000,34.7600,3.3000,25.5200,27.7200,8.3600
1008,1,84.0000,714.0000,44.3100,4.2000,29.4000,35.2800,10.5000
1008,2,84.0000,714.0000,44.3100,4.2000,29.4000,35.2800,10.5000
1008,3,92.0000,782.0000,48.5300,4.6000,32.2000,38.6400,11.5000
1008,4,84.0000,714.0000,44.3100,4.2000,29.4000,35.2800,10.5000
1008,5,88.0000,748.0000,46.4200,4.4000,30.8000,36.9600,11.0000
1008,6,88.0000,748.0000,46.4200,4.4000,30.8000,36.9600,11.0000
1008,7,84.0000,714.0000,44.3100,4.2000,29.4000,35.2800,10.5000
1008,8,92.0000,782.0000,48.5300,4.6000,32.2000,38.6400,11.5000
1008,9,88.0000,748.0000,46.4200,4.4000,30.8000,36.9600,11.0000
1008,10,84.0000,714.0000,44.3100,4.2000,29.4000,35.2800,10.5000
1008,11,88.0000,748.0000,46.4200,4.4000,30.8000,36.9600,11.0000
1008,12,88.0000,748.0000,46.4200,4.4000,30.8000,36.9600,11.0000
1009,1,42.0000,357.0000,22.0500,2.1000,16.3800,17.6400,5.2500
1009,2,42.0000,357.0000,22.0500,2.1000,16.3800,17.6400,5.2500
1009,3,46.0000,391.0000,24.1500,2.3000,17.9400,19.3200,5.7500
1009,4,42.0000,357.0000,22.0500,2.1000,16.3800,17.6400,5.2500
1009,5,44.0000,374.0000,23.1000,2.2000,17.1600,18.4800,5.5000
1009,6,44.0000,374.0000,23.1000,2.2000,17.1600,18.4800,5.5000
1009,7,42.0000,357.0000,22.0500,2.1000,16.3800,17.6400,5.2500
1009,8,46.0000,391.0000,24.1500,2.3000,17.9400,19.3200,5.7500
1009,9,44.0000,374.0000,23.1000,2.2000,17.1600,18.4800,5.5000
1009,10,42.0000,357.0000,22.0500,2.1000,16.3800,17.6400,5.2500
1009,11,44.0000,374.0000,23.1000,2.2000,17.1600,18.4800,5.5000
1009,12,44.0000,374.0000,23.1000,2.2000,17.1600,18.4800,5.5000
1010,1,126.0000,1071.0000,66.3600,6.5100,44.3100,53.1300,15.3300
