JobNumber,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
1003,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000
1007,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000
1008,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000
1009,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000
1010,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000
1011,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000
1012,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000,47.0000
1025,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000
1027,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
1032,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5150.0000,-5131.0000,-5131.0000,-5131.0000
1033,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000
1034,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000
1035,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000,-2189.0000
1037,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000
1038,,,,,,,,,,,,
1041,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000
1045,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000
1051,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000
1053,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000
1055,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000
1056,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000
1057,-4628.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4222.0000,-4223.0000,-4223.0000,-4223.0000
1058,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000,-6940.0000
1060,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000,-1898.0000
1061,-2197.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000,-1654.0000
1062,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000
1063,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000
1065,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000,-1265.0000
1066,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000,-10345.0000
1067,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
