JobNumber,Period,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
1003,0,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000,-20895.0000
1003,12,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000
1007,0,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000,-989.0000
1008,0,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000,108.0000
1009,0,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000
1010,0,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000,717.0000
1011,0,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000
1012,0,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000,-2202.0000
1025,0,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000,-2681.0000
1027,0,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000,-1510.0000
1032,0,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5131.0000,-5150.0000,-5131.0000,-5131.0000,-5131.0000
1033,0,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000,-7876.0000
1034,0,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000,-2137.0000
1035,0,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000,-4821.0000
1037,0,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000,-1434.0000
1037,12,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000
1038,0,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000,-543.0000
1041,0,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000,-1058.0000
1041,12,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000
1043,12,,,,,,,,,,,,
1044,12,,,,,,,,,,,,
1045,0,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000
1051,0,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000,-3606.0000
1051,12,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000
1052,0,,,,,,,,,,,,
1052,12,,,,,,,,,,,,
1053,0,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000,-7313.0000
1053,12,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000
1055,0,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000,-1076.0000
1055,12,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000,136.0000
1056,0,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000,-1500.0000
1056,12,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000,58.0000
1057,0,-4628.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4223.0000,-4222.0000,-4223.0000,-4223.0000,-4223.0000
1057,12,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000,653.0000
