MonthlyBudget,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,GLAccountNumber,FiscalYear,BudgetType,JobNumber
423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,4022,2016,Other,1003
3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,4090,2016,Supplies,1003
3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,3500.0000,4090,2017,Supplies,1003
141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,141.0000,4060,2016,Other,1003
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4001,2015,Other,1003
162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,162.0000,4001,2016,Other,1003
423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,423.0000,4021,2016,Other,1003
1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,1226.0000,4020,2016,Sub-contracted Labor,1003
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4003,2015,Other,1003
140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,140.0000,4003,2016,Other,1003
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4004,2015,Other,1003
36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,4004,2016,Other,1003
4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4003,2016,Other,1007
16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,4021,2016,Other,1007
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,4060,2016,Other,1007
16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,4022,2016,Other,1007
95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,95.0000,4090,2016,Supplies,1008
7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4001,2016,Other,1008
6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,4003,2016,Other,1008
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,4003,2016,Other,1009
