GLEntryNumber,GLPostingDate,JobNumber,Amount,GLAccountNumber,ExpenseType
45234,8/31/2016,1003,6245.5400,4000,General Labor
45235,8/31/2016,1012,367.5000,4000,General Labor
45236,8/31/2016,1025,544.6000,4000,General Labor
45237,8/31/2016,1027,135.6500,4000,General Labor
45238,8/31/2016,1032,769.1100,4000,General Labor
45239,8/31/2016,1033,2071.8900,4000,General Labor
45240,8/31/2016,1034,542.0600,4000,General Labor
45241,8/31/2016,1035,288.0000,4000,General Labor
45242,8/31/2016,1037,179.7500,4000,General Labor
45243,8/31/2016,1041,412.2900,4000,General Labor
45244,8/31/2016,1051,1521.7900,4000,General Labor
45245,8/31/2016,1053,1498.1000,4000,General Labor
45246,8/31/2016,1055,168.9300,4000,General Labor
45247,8/31/2016,1056,321.6100,4000,General Labor
45248,8/31/2016,1057,1743.0600,4000,General Labor
45249,8/31/2016,1058,1922.6400,4000,General Labor
45250,8/31/2016,1060,612.0000,4000,General Labor
45251,8/31/2016,1061,776.5200,4000,General Labor
45252,8/31/2016,1065,253.9800,4000,General Labor
45253,8/31/2016,1066,4145.6600,4000,General Labor
45254,8/31/2016,1067,60.4000,4000,General Labor
45255,8/31/2016,1068,230.0400,4000,General Labor
45256,8/31/2016,1069,302.0000,4000,General Labor
45257,8/31/2016,1070,142.9200,4000,General Labor
45258,8/31/2016,1071,321.6000,4000,General Labor
45259,8/31/2016,1072,224.9100,4000,General Labor
45260,8/31/2016,1073,24.5500,4000,General Labor
45261,8/31/2016,1074,132.1700,4000,General Labor
45262,8/31/2016,1075,105.0000,4000,General Labor
45263,8/31/2016,1076,96.0000,4000,General Labor
45264,8/31/2016,1077,288.0000,4000,General Labor
45265,8/31/2016,3000,17899.5400,4000,General Labor
45266,8/31/2016,3001,27092.9400,4000,General Labor
45267,8/31/2016,3003,1407.0200,4000,General Labor
45268,8/31/2016,3004,717.5000,4000,General Labor
45269,8/31/2016,3005,24.1500,4000,General Labor
45270,8/31/2016,3006,428.4200,4000,General Labor
45271,8/31/2016,3008,5746.0600,4000,General Labor
45272,8/31/2016,3012,6786.4300,4000,General Labor
45273,8/31/2016,3015,515.2000,4000,General Labor
45274,8/31/2016,3016,3798.6000,4000,General Labor
45275,8/31/2016,3017,754.2900,4000,General Labor
45276,8/31/2016,3020,24.1500,4000,General Labor
45277,8/31/2016,3022,66.0000,4000,General Labor
45278,8/31/2016,3025,4900.5800,4000,General Labor
45279,8/31/2016,3027,7129.2800,4000,General Labor
45280,8/31/2016,3029,2243.8000,4000,General Labor
45281,8/31/2016,3031,1146.5500,4000,General Labor
45282,8/31/2016,3033,2614.9500,4000,General Labor
45283,8/31/2016,3034,364.5000,4000,General Labor
45284,8/31/2016,3036,193.8500,4000,General Labor
45285,8/31/2016,3037,4689.7600,4000,General Labor
45286,8/31/2016,3038,4250.9500,4000,General Labor
45287,8/31/2016,3039,252.0000,4000,General Labor
45288,8/31/2016,3040,3169.1200,4000,General Labor
45289,8/31/2016,3042,986.5400,4000,General Labor
45290,8/31/2016,3043,586.1700,4000,General Labor
45291,8/31/2016,3045,14819.1700,4000,General Labor
45292,8/31/2016,3046,1180.2200,4000,General Labor
45293,8/31/2016,4035,289.8000,4000,General Labor
45294,8/31/2016,4037,588.9600,4000,General Labor
45295,8/31/2016,4040,1302.8500,4000,General Labor
45296,8/31/2016,4044,33.8000,4000,General Labor
45297,8/31/2016,5000,1110.5600,4000,General Labor
45298,8/31/2016,5011,6855.5300,4000,General Labor
45299,8/31/2016,6008,928.0000,4000,General Labor
45300,8/31/2016,6026,128.0000,4000,General Labor
45301,8/31/2016,7001,1105.9800,4000,General Labor
45302,8/31/2016,7002,151.5400,4000,General Labor
45303,8/31/2016,7006,108.0000,4000,General Labor
45304,8/31/2016,7009,1024.0000,4000,General Labor
45305,8/31/2016,8006,256.0000,4000,General Labor
45306,8/31/2016,8007,128.0000,4000,General Labor
45307,8/31/2016,8009,128.0000,4000,General Labor
45308,8/31/2016,8030,64.0000,4000,General Labor
45309,8/31/2016,8031,64.0000,4000,General Labor
45310,8/31/2016,9003,387.0000,4000,General Labor
45311,8/31/2016,901057,184.3800,4000,General Labor
45312,8/31/2016,901058,36.0000,4000,General Labor
45313,8/31/2016,903000,1395.6000,4000,General Labor
45314,8/31/2016,903001,955.1400,4000,General Labor
45315,8/31/2016,906008,40.0000,4000,General Labor
44756,8/31/2016,3024,1137.6000,4000,General Labor
45316,8/31/2016,1003,15.4500,4001,Overtime
45317,8/31/2016,1025,0.2100,4001,Overtime
45318,8/31/2016,1033,2.0100,4001,Overtime
45319,8/31/2016,1034,1.1500,4001,Overtime
45320,8/31/2016,1055,4.9100,4001,Overtime
45321,8/31/2016,1061,0.4200,4001,Overtime
45322,8/31/2016,1066,120.8000,4001,Overtime
45323,8/31/2016,1071,34.4400,4001,Overtime
45324,8/31/2016,3000,112.3900,4001,Overtime
45325,8/31/2016,3001,137.4000,4001,Overtime
45326,8/31/2016,3003,4.1900,4001,Overtime
45327,8/31/2016,3004,18.0500,4001,Overtime
45328,8/31/2016,3008,5.5600,4001,Overtime
45329,8/31/2016,3012,4.5400,4001,Overtime
45330,8/31/2016,3016,3.8900,4001,Overtime
45331,8/31/2016,3025,1.4400,4001,Overtime
45332,8/31/2016,3027,27.5500,4001,Overtime
45333,8/31/2016,3029,52.8500,4001,Overtime
45334,8/31/2016,3031,33.0000,4001,Overtime
45335,8/31/2016,3033,43.9800,4001,Overtime
45336,8/31/2016,3037,4.4500,4001,Overtime
45337,8/31/2016,3038,24.0000,4001,Overtime
45338,8/31/2016,3040,0.7700,4001,Overtime
45339,8/31/2016,3045,85.9300,4001,Overtime
45340,8/31/2016,3046,1.1400,4001,Overtime
45341,8/31/2016,4037,3.9600,4001,Overtime
45342,8/31/2016,5000,3.5100,4001,Overtime
45343,8/31/2016,5011,90.0600,4001,Overtime
45344,8/31/2016,7001,21.6800,4001,Overtime
45345,8/31/2016,903000,32.8500,4001,Overtime
45346,8/31/2016,906008,20.0000,4001,Overtime
45347,8/31/2016,3012,400.0000,4005,Vacation Labor
44757,8/31/2016,4500,9176.1600,4010,Other
44832,8/31/2016,3042,169.8400,4090,Supplies
