JobNumber,JobDescription,ParentJobNumber,SupervisorID,TypeID,Tier1ID,Tier2ID,Tier3ID,Tier5ID,Tier6ID,Tier7ID,Tier8ID,Active,JobAddress1,JobAddress2,JobCity,JobState,JobZip,Point
1,Balance Sheet,,1000,0,0,0,0,0,0,0,0,1,,,,,,
2,Tax Job,,1000,0,0,0,0,0,0,0,0,1,,,,,,
3,AR & AP Discount/Finance,,1000,0,0,0,0,0,0,0,0,1,,,,,,
4,Fixed Asset Gain/Loss,,1000,0,0,0,0,0,0,0,0,1,,,,,,
2005,Speciality - Misc,,1,2,1,0,0,0,0,0,0,0,,,,,,
33,Operations Related,,1000,0,1,0,0,0,0,0,0,1,,,,,,
1079,MHS- Memorial Hospital Pembroke,,19,2,1,0,0,5,2,0,0,1,7800 Sheridan Street,,Hollywood,FL,33024,
1043,Broward Health / CDTC,,19,1,1,0,0,15,2,0,0,1,5600 Hollywood Blvd,,Hollywood,FL,33021,
1044,Broward Health / CDTC,,13,1,1,0,0,15,2,0,0,1,1800 E. Commercial Blvd,,Fort Lauderdale,FL,33309,
5009,Century Village-Restraurant Restrooms,,44,1,1,0,0,15,2,0,0,1,,,Deerfield Beach,FL,33442,
5018,Bistro/Lunch,,60,0,1,0,0,91,2,0,0,1,,,,,,
5010,Century Village - Le Club,,44,1,1,1,0,9,2,0,0,1,,,,,,
7316,FritzRoy Investment Advisors,,1000,2,1,1,0,15,2,0,0,1,1111 Brickell Ave,,Miami,FL,33131,
4006,Castle Managment,,1000,2,1,1,0,91,2,0,0,0,2845 Northeast 9th Street,,Fort Lauderdale,FL,33304,
1011,Bennett Medical Center,,13,1,1,1,1,4,2,0,0,0,201 Nw 82nd Avenue,,Fort Lauderdale,FL,33324,
1012,4800 Medical Complex,,13,1,1,1,1,4,2,0,0,1,4800 Ne 20th Terrace Suite 401,,Fort Lauderdale,FL,33308,POINT (-80.117371 26.186759)
1007,University Physicians Pavillion,,13,1,1,1,1,4,2,0,0,1,,,Tamarc,FL,33321,
1008,Westside Specialty Plaza,,13,1,1,1,1,4,2,0,0,0,,,Plantation,FL,33324,
1038,Memorial - Housing,,13,6,1,1,1,4,2,3,8,1,,,,,,
1053,Broward Health Spectrum,,64,1,1,1,1,4,2,4,0,1,1700 NW 49th St ,,Fort Lauderdale,FL,33309,POINT (-80.165284 26.185233)
1062,Broward Health Spectrum 2,,64,1,1,1,1,4,2,4,0,0,1700 NW 49th St.,,Fort Lauderdale,FL,33309,POINT (-80.16535 26.185609)
1063,Broward Health Spectrum 2 addition,,64,1,1,1,1,4,2,4,0,0,1700 NW 49th St.,,Fort Lauderdale,FL,33309,POINT (-80.165215 26.184758)
1027,Lincoln Harris - Pembroke Mob,,19,7,1,1,1,5,2,0,0,1,2261 N. University Drive,,Pembroke Pines,FL,33024,
1032,MHS- Tech Resource Center,,46,1,1,1,1,5,2,3,2,1,3051 N Commerce Pkwy,,Hollywood,FL,33025,POINT (-80.280205 25.980699)
1040,MHS - Memorial Manor,,19,1,1,1,1,5,2,3,0,0,777 South Douglas Road,,Pembroke Pines,FL,33025,
1025,MHS - Regional Hospital South,,1000,1,1,1,1,5,2,3,2,1,3600 Washington Street,,Hollywood,FL,33021,POINT (-80.18035 26.001954)
1035,MHS - Community Youth Center,,1001,1,1,1,1,5,2,3,2,1,7031 Taft Street ,,Hollywood,FL,33024,POINT (-80.228943 26.025532)
1037,MHS - Distribution Center,,1001,1,1,1,1,5,2,3,2,1,801 South Douglas Road ,,Pembroke Pines,FL,33025,POINT (-80.26249 26.00261)
1060,MHS Same-Day Surgery West,,80,1,1,1,1,5,2,3,2,1,501 N. Pembroke Rd.,,Pembroke Pines,FL,33028,POINT (-80.153851 25.996417)
1061,MHS Same-Day Surgery East,,80,1,1,1,1,5,2,3,2,1,4470 Sheridan St,,Hollywood,FL,33021,POINT (-80.18936 26.031293)
1058,MHS- Memorial Exec Bldg,,72,1,1,1,1,5,2,3,2,1,3111 Stirling Road ,,Hollywood ,FL,33021,POINT (-80.184689 26.048652)
1076,MHS- Memorial Dietary Dept,,1001,1,1,1,1,5,2,3,2,1,1901 SW 172nd Ave,,Hollywood,FL,33029,
1077,MHS Home Health,,1001,1,1,1,1,5,2,3,2,1,7029 Taft Street,,Hollywood,FL,33024,POINT (-80.228471 26.024365)
1078,MHS- Pediatric Surgical Specialist,,1001,1,1,1,1,5,2,3,0,1,1131 N 35th Ave,,Hollywood,FL,33021,
1066,MHS- Miramar Mob,,74,1,1,1,1,5,2,3,2,1,1951 Sw 172nd Ave,,Hollywood,FL,33029,POINT (-80.372825 25.990318)
1071,MHS - Day Care 1,,1001,1,1,1,1,5,2,3,2,1,1850 Park Rd,,Hollywood,FL,33021,POINT (-80.104983 26.364567)
1073,MHS- It Data Center,,1001,1,1,1,1,5,2,3,2,1,851 S Douglas,,Hollywood,FL,33025,POINT (-80.263513 26.002281)
1074,MHS- Document Imaging,,1001,1,1,1,1,5,2,3,2,1,801 S. Douglas,,Hollywood,FL,33025,POINT (-80.262578 26.004167)
1065,MHS- JDCH - Weston,,1006,0,1,1,1,9,2,3,0,1,1865 N Coporate Lakes Boulevard,,Weston,FL,33326,POINT (-80.367533 26.095966)
1052,Broward Health - Physician Office Building,,1000,1,1,1,1,9,2,4,0,1,3100 Coral Hills Drice,,Pompano Beach,FL,33065,POINT (-80.254541 26.269943)
1055,Broward Health Sleep Center,,1006,1,1,1,1,9,2,4,0,1,3000 Coral Hills Drive Suite 260,,Coral Springs,FL,33065,POINT (-80.255555 26.268827)
1056,Broward Health Women's Ctr,,1006,1,1,1,1,9,2,4,0,1,3000 Coral Hills Drive Suite 270,,Coral Springs,FL,33065,POINT (-80.255555 26.268827)
1057,Broward Health MOB,,71,1,1,1,1,9,2,4,0,1,3100 Coral Hills Drive,,Coral Springs,FL,33065,POINT (-80.254508 26.269924)
1046,Broward Health - 7th Avenue Family Medical,,1000,1,1,1,1,90,2,0,0,0,,,,,,
3034,JAFCO,,13,1,1,1,3,4,2,0,0,1,5100 Nob Hill Rd ,,Sunrise,FL,33351,POINT (-80.283959 26.187252)
3041,Church Of St. Marks,,13,1,1,1,3,4,2,0,0,0,,,,,,
3045,Broward College - North Campus,,66,1,1,1,3,4,2,5,0,1,1000 Coconut Creek Blvd,,Pompano Beach,FL,33066,POINT (-80.174786 26.242439)
3018,Broward College Downtown Campus - Day,3008,13,1,1,1,3,4,2,5,0,1,110 East Las Olas Boulevard ,,Fort Lauderdale,FL,33300,POINT (-80.141343 26.119449)
3019,Broward College Downtown - Night,3008,13,1,1,1,3,4,2,5,0,0,111 East Las Olas Boulevard ,,Fort Lauderdale,FL,33301,
3030,Broward College Cypress Creek,,13,1,1,1,3,4,2,5,0,0,6400 NW,,Coconut Creek,FL,33309,
3047,Broward College Central Campus,,13,2,1,1,3,4,2,5,0,1,3501 S.W. Davie Rd,,Fort Lauderdale,FL,33314,
3007,Broward College Downtown - HEC,3008,13,1,1,1,3,4,2,5,0,1,111 E. Las Olas Blvd.,,Fort Lauderdale,FL,33301,POINT (-80.141813 26.119203)
3008,Broward College Downtown,,49,1,1,1,3,4,2,5,0,1,225 East Las Olas Boulevard ,,Fort Lauderdale,FL,33301,POINT (-80.141024 26.119535)
3009,Broward College Downtown Campus - Day,3008,13,1,1,1,3,4,2,5,0,0,112 E. Las Olas Blvd.,,Fort Lauderdale,FL,33302,
3010,Broward College Downtown Campus - Night,3008,13,1,1,1,3,4,2,5,0,1,113 E. Las Olas Blvd.,,Fort Lauderdale,FL,33303,POINT (-80.141582 26.11918)
903008,FAU Broward Campus HEC - Night,,13,1,1,1,3,4,2,5,0,0,225 East Las Olas Boulevard ,,Fort Lauderdale,FL,33301,POINT (-80.141322 26.119524)
903045,Broward College - North Campus,,13,1,1,1,3,4,2,5,0,0,1000 Coconut Creek Blvd,,Pompano Beach,FL,33066,POINT (-80.17486 26.239777)
903046,FAU Broward Campus HEC - Night,,13,1,1,1,3,4,2,5,0,0,225 East Las Olas Boulevard ,,Fort Lauderdale,FL,33301,POINT (-80.140641 26.119287)
903012,FAU Davie Campus - Night,,13,1,1,1,3,4,2,9,0,0,3200 College Avenue LA 322 ,,Davie,FL,33314,POINT (-80.237826 26.081765999999998)
3011,FAU Davie Campus - Day,,13,1,1,1,3,4,2,9,0,0,3200 College Avenue LA 322 ,,Davie,FL,33314,
3012,FAU Davie Campus - Night,,17,1,1,1,3,4,2,9,0,1,3200 College Avenue LA 322 ,,Davie,FL,33314,POINT (-80.234927 26.082132)
3013,FAU Davie Campus - Student Union,,65,1,1,1,3,4,2,9,0,1,3200 College Ave.,,Davie,FL,33314,POINT (-80.236804 26.081619)
3015,FAU Dania Campus - Seatech,,13,1,1,1,3,4,2,9,0,1,101 North Beach Road ,,Dania,FL,33004,POINT (-80.113247 26.054946)
2016,Jack and Jill Children's Center,,68,5,1,1,3,8,2,0,0,1,1315 West Broward Blvd,,Fort Lauderdale,FL,33312,POINT (-80.159153 26.122101)
8030,SunEdHigh - Margate,,1,5,1,1,3,8,2,0,0,1,1117 Banks Road,,Margate,FL,33063,
8031,SunEd High - Oakland Park,,1,5,1,1,3,8,2,0,0,1,2360 West Oakland Park Blvd,,Fort Lauderdale,FL,33311,
3035,Mary Help of Christian Catholic School,,44,1,1,1,3,9,2,0,0,0,6000 N University Dr. ,,Parkland,FL,33067,
903042,St. Andrews Catholic School (Upper),,69,1,1,1,3,9,2,0,0,0,9990 NW 29 Street ,,Coral Springs,FL,33065,POINT (-80.258153 26.266272)
