BudgetDate,GLAccountNumber,JobNumber,DailyBudgetID,BudgetedHours,BudgetedDollars,FICA,FUTA,SUTA,WorkmansCompensation,Medicare
9/7/2016,4000,3004,1609,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/8/2016,4000,3004,1610,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/9/2016,4000,3004,1611,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/12/2016,4000,3004,1612,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/13/2016,4000,3004,1613,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/14/2016,4000,3004,1614,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/15/2016,4000,3004,1615,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/16/2016,4000,3004,1616,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/19/2016,4000,3004,1617,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/20/2016,4000,3004,1618,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/21/2016,4000,3004,1619,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/22/2016,4000,3004,1620,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/23/2016,4000,3004,1621,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/26/2016,4000,3004,1622,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/27/2016,4000,3004,1623,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/28/2016,4000,3004,1624,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/29/2016,4000,3004,1625,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
9/30/2016,4000,3004,1626,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/3/2016,4000,3004,1627,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/4/2016,4000,3004,1628,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/5/2016,4000,3004,1629,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/6/2016,4000,3004,1630,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/7/2016,4000,3004,1631,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/10/2016,4000,3004,1632,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/11/2016,4000,3004,1633,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/12/2016,4000,3004,1634,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/13/2016,4000,3004,1635,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/14/2016,4000,3004,1636,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/17/2016,4000,3004,1637,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
10/18/2016,4000,3004,1638,8.0000,68.0000,4.2200,0.4100,3.1100,3.3700,0.9800
