"ID",TaskCode,TaskName,MeasureTypeID,Minutes,TypeID,price
7550,9000,General cleaning time - Basic 500 SF,1,50.000000,2902,20.000000
7551,9001,General Cleaning Office 501-1000 SF,1,48.000000,2902,20.000000
7552,9002,General Cleaning  Hospitality 1001-2500 SF,1,57.000000,2902,20.000000
7553,9003,General Cleaning Medical operating room 2501-5000 SF,1,60.000000,2902,40.000000
7554,9004,General Cleaning Medical operating room 5000 + SF,1,90.000000,2902,40.000000
7555,9005,Education Daycare,1,60.000000,2902,30.000000
7556,9006,General Cleaning Municipal,1,51.430000,2902,20.000000
7557,9007,Icap / Encapsulation 500 SF,1,80.000000,2902,180.000000
7558,9008,Icap / Encapsulation 501-1000 SF,1,80.000000,2902,168.000000
7559,9009,Icap / Encapsulation 1001-2500 SF,1,80.000000,2902,156.000000
7560,9010,Icap / Encapsulation 2501-5000 SF,1,80.000000,2902,144.000000
7561,9011,Icap / Encapsulation 5000 + SF,1,80.000000,2902,120.000000
7562,9012,Carpet Bonnet 500 SF,1,120.000000,103,150.000000
7563,9013,Carpet Bonnet 501-1000 SF,1,120.000000,103,130.000000
7564,9014,Carpet Bonnet 1001-2500 SF,1,120.000000,103,120.000000
7565,9015,Carpet Bonnet 2501-5000 SF,1,120.000000,103,110.000000
7566,9016,Carpet Bonnet 5000 + SF,1,120.000000,103,100.000000
7567,9017,Carpet Extraction 500 SF,1,100.000000,103,240.000000
7568,9018,Carpet Extraction 501-1000 SF,1,100.000000,103,228.000000
7569,9019,Carpet Extraction 1001-2500 SF,1,100.000000,103,216.000000
7570,9020,Carpet Extraction 2501-5000 SF,1,100.000000,103,204.000000
7571,9021,Carpet Extraction 5000 + SF,1,100.000000,103,192.000000
7572,9022,Terrazo Polish,1,80.000000,103,200.000000
7573,9023,Terrazzo Diamond,1,2060.000000,103,6000.000000
7574,9024,Terrazzo Steel Wool/ crystallization,1,660.000000,103,2000.000000
7575,9025,VCT Burnish,1,66.670000,103,400.010000
7576,9026,VCT Buff,1,71.540000,103,300.010000
7577,9027,Restroom floor scrubbing,1,110.000000,105,180.000000
7578,9028,Pressure Wash  Price per sqft,1,105.000000,2902,144.000000
7579,9029,VCT Strip and wax 500 SF,1,300.000000,2902,360.000000
7580,9030,VCT Strip and wax 501-1000 SF,1,300.000000,2902,348.000000
7581,9031,VCT Strip and wax 1001-2500 SF,1,300.000000,2902,336.000000
7582,9032,VCT Strip and wax 2501-5000 SF,1,300.000000,2902,324.000000
7583,9033,VCT Strip and wax 5000 + SF,1,300.000000,2902,300.000000
7584,9034,Scrub Recoat 500 SF,1,180.000000,2902,216.000000
7585,9035,Scrub Recoat 501-1000 SF,1,180.000000,2902,204.000000
7586,9036,Scrub Recoat 1001-2500 SF,1,180.000000,2902,192.000000
7587,9037,Scrub Recoat 2501-5000 SF,1,180.000000,2902,180.000000
7588,9038,Scrub Recoat 5000 + SF,1,180.000000,2902,168.000000
7589,9039,Window washing,1,71.670000,109,15.000000
7590,9040,Restroom cleaning,1,58.570000,106,30.000000
7591,9041,Fixtures cleaning,1,330.000000,2902,150.000000
7592,9042,General Cleaning Classrooms,1,57.270000,2902,20.000000
7593,9043,General Cleaning Offices,1,57.270000,2902,20.000000
7594,9044,Ride on Floor Scrubber,1,61.250000,105,30.000000
7595,9045,General Cleaning Stairs and Landings,1,280.000000,107,1000.000000
7596,9046,20' auto scrubber 5.500,1,70.910000,103,40.000000
7597,9047,Light Fixtures replace and clean per hr.,1,780.000000,2902,500.000000
7598,9048,"Upholstery Cleaning ,chairs per hour",1,1230.000000,103,2000.000000
7599,9049,Grout cleaning 35 cents Per square,1,140.000000,105,350.000000
