JobNumber,Period,Hours,Lunch,Total
1000,1,40.0000,,
1000,3,24.0000,,
1000,4,40.0000,,
1000,5,72.0000,,
1000,6,24.0000,,
1000,7,16.0000,,
1000,8,40.0000,,
1000,9,96.0000,,
1003,1,2116.5000,133.0000,20419.5710000
1003,2,2097.2600,140.5000,20277.2305000
1003,3,2062.6900,132.5000,20020.8530000
1003,4,2042.9300,130.5000,20444.7770000
1003,5,1751.3200,110.5000,17100.0205000
1003,6,1647.9000,95.5000,15726.7400000
1003,7,1790.7400,109.0000,16997.1370000
1003,8,1584.2600,124.5000,15649.9750000
1003,9,1553.2500,104.0000,14896.6890000
1003,10,1314.0000,84.0000,5330.2045000
1003,11,16.0700,1.0000,
1007,1,60.1200,0.0000,483.9660000
1007,2,63.0200,0.0000,507.3110000
1007,3,69.0400,0.0000,555.7720000
1007,4,33.2100,0.0000,267.3405000
1007,5,8.0000,,64.4000000
1007,6,12.0000,,96.6000000
1008,1,124.0000,0.0000,998.2000000
1008,2,74.0000,0.0000,595.7000000
1008,3,92.0000,,740.6000000
1008,4,84.0000,,676.2000000
1008,5,84.0000,,676.2000000
1008,6,88.0000,,708.4000000
1008,7,62.0000,,499.1000000
1008,8,20.0000,,161.0000000
1009,1,28.0000,0.0000,225.4000000
1009,2,47.0000,0.0000,378.3500000
1009,3,48.0000,,386.4000000
1009,4,40.0000,0.0000,322.0000000
1009,5,42.0000,,338.1000000
1009,6,44.0000,,354.2000000
1009,7,30.0000,,241.5000000
1009,8,8.0000,,64.4000000
1010,1,58.0000,,466.9000000
1010,2,35.0000,,281.7500000
1010,3,174.0000,,1400.7000000
1010,4,130.0000,,1046.5000000
1010,5,126.0000,,1014.3000000
1010,6,132.0000,,1062.6000000
1010,7,90.0000,,724.5000000
1010,8,30.0000,,241.5000000
1011,1,72.0000,0.0000,599.4000000
1011,2,153.0500,1.0000,1306.5500000
1011,3,8.0000,,64.4000000
1011,4,40.0000,,322.0000000
1011,5,42.0000,,338.1000000
1011,6,44.0000,,354.2000000
1011,7,30.0000,,241.5000000
1011,8,10.0000,,80.5000000
1012,1,114.0000,,1197.0000000
1012,2,110.0000,,1155.0000000
1012,3,115.0000,0.0000,1207.5000000
1012,4,105.0000,,1102.5000000
1012,5,105.0000,,1102.5000000
1012,6,115.0000,,1207.5000000
1012,7,95.0000,,997.5000000
1012,8,116.0000,0.5000,1240.5000000
1012,9,105.0000,,1102.5000000
1012,10,93.0000,0.0000,472.5000000
1025,1,108.5400,9.5000,936.1400000
1025,2,165.5900,10.5000,1407.5150000
1025,3,184.0900,11.5000,1564.7650000
1025,4,168.2000,10.5000,1429.7000000
1025,5,176.2000,11.0000,1497.7000000
1025,6,176.0800,11.0000,1496.6800000
1025,7,165.5900,10.5000,1407.5150000
1025,8,184.2900,11.5000,1566.4650000
1025,9,173.8400,11.0000,1477.6400000
1025,10,158.3700,10.0000,596.3600000
1025,11,8.0300,0.5000,
1027,1,40.6700,0.0000,327.3935000
1027,2,43.3600,0.0000,349.0480000
1027,3,47.9400,0.0000,385.9170000
1027,4,36.4100,0.0000,293.1005000
1027,5,41.7800,0.0000,351.5290000
1027,6,46.1200,0.0000,371.2660000
1027,7,39.4400,0.0000,317.4920000
1027,8,51.2100,0.0000,434.6195000
1027,9,4.0000,0.0000,32.2000000
1032,1,228.9700,21.0000,2117.8750000
1032,2,235.1300,21.5000,2180.0600000
1032,3,252.5100,23.0000,2335.6200000
1032,4,230.9400,21.0000,2136.0600000
1032,5,241.3900,22.0000,2240.5300000
1032,6,242.1300,22.0000,2239.5600000
1032,7,220.3800,20.0000,2038.4250000
1032,8,256.3800,23.5000,2377.1400000
1032,9,231.4900,21.0000,2141.1850000
1032,10,211.6700,19.0000,834.3850000
1033,1,792.4400,22.5000,7253.1855000
1033,2,690.9300,21.0000,6168.1140000
1033,3,742.1600,22.5000,6635.7105000
1033,4,717.9700,20.0000,6432.5030000
1033,5,734.9200,19.0000,6628.6395000
1033,6,762.7700,23.5000,6837.1815000
1033,7,719.1500,20.0000,6435.8055000
1033,8,682.2000,20.5000,6280.5435000
1033,9,561.2300,17.5000,5322.5010000
1033,10,631.2500,18.0000,2295.1505000
1033,11,8.1500,0.5000,
1034,1,167.2200,11.5000,1369.7800000
1034,2,152.0800,4.5000,1292.6440000
1034,3,190.8700,7.0000,1719.9450000
1034,4,175.5700,11.0000,1512.2950000
1034,5,182.5300,11.0000,1599.2265000
1034,6,172.7200,10.0000,1464.5200000
