EmployeeNumber,EffectiveDate
2928,4/22/2016
2889,4/21/2016
3018,4/11/2016
3032,4/8/2016
2994,4/8/2016
3017,4/8/2016
2256,4/8/2016
3067,4/7/2016
2835,4/2/2016
2870,4/2/2016
3035,3/31/2016
3007,3/31/2016
3063,3/30/2016
3000,3/29/2016
2788,3/29/2016
2956,3/29/2016
2284,3/27/2016
2083,3/26/2016
2620,3/25/2016
2745,3/21/2016
2443,3/21/2016
2974,3/20/2016
2967,3/15/2016
9040,3/14/2016
3011,3/11/2016
2622,3/10/2016
3059,3/9/2016
3012,3/7/2016
2972,3/5/2016
2312,3/5/2016
2883,3/5/2016
2970,3/4/2016
2485,3/4/2016
2998,3/4/2016
3036,3/4/2016
3024,3/4/2016
