VendorNumber,VendorName,Address1,Address2,City,State,Zip,ContactName,Attention,Phone,Fax,ContactEmailAddress,TypeOf1099,TaxID,Active,StandardTermDayNum,NumDaysForDiscount,PercentDiscount,DefaultMemoLine,DefaultPayUseTax,ShippingTerms,PaymentTerms,Notes,Taxable,AccountNumber,CityStateZip,YN1099,Terms,Discount,ActiveYN,VendorType,ParentVendorNumber,POBlanketNumber,MinorityTypeDescription,MinorityCertificationNumber,CCName,UserCodeLabel1,UserCodeLabel2,UserCodeLabel3,UserCodeLabel4,UserCodeLabel5,UserCodeLabel6,UserCodeLabel7,UserCodeLabel8,UserCodeLabel9,UserCodeLabel10,UserCodeLabel11,UserCodeLabel12,UserCodeLabel13,UserCodeLabel14,UserCodeLabel15,UserCodeLabel16,UserCodeLabel17,UserCodeLabel18,UserCodeLabel19,UserCodeLabel20,UserCodeLabel21,UserCodeLabel22,UserCodeLabel23,UserCodeLabel24,UserCodeLabel25,UserCodeLabel26,UserCode1,UserCode2,UserCode3,UserCode4,UserCode5,UserCode6,UserCode7,UserCode8,UserCode9,UserCode10,UserCode11,UserCode12,UserCode13,UserCode14,UserCode15,UserCode16,UserCode17,UserCode18,UserCode19,UserCode20,UserCode21,UserCode22,UserCode23,UserCode24,UserCode25,UserCode26,DefaultPaymentMethod,DefaultPaymentVendorNumber,DefaultPaymentCCVendorNumber,CreditReconciledDate,PrintAPMemoLine,ReconcileVendor
10000,Comcast,PO Box 530098,,Atlanta,GA,30353-0098,,,8003913000,,,,,0,24,,,8495753103356191,0,,,,0,8495753103356191,"Atlanta, GA 30353-0098",None,Day 24, ,No,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1000,1000BULBS.COM,2140 MERRITT DR,,GARLAND,TX,75041,,,,,,,,1,30,,,,0,,,,0,,"GARLAND, TX 75041",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1006,A.A.C. UNITED FIRE & SAFETY EQUIP,305 S.W. 15TH AVE,,POMPANO BEACH,FL,33069,,,,,,,,1,30,,,,0,,,,0,,"POMPANO BEACH, FL 33069",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1015,ADT SECURITY,P.O. BOX 538083,,ATLANTA,GA,30353-8083,,,,,,,,1,30,,,,0,,,,0,,"ATLANTA, GA 30353-8083",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1032,AMERICAN EXPRESS,,,,,,,,,,,,,1,30,,,,0,,,,0,,,None,Day 30, ,Yes,Other,,,,,Debbie Polcino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,12/31/2015,0,0
1037,AMSAN FLORIDA,3031 N ANDREWS AVENUE EXTENSION,,POMPANO BEACH,FL,33064,,Jorge Finlay,3054710077,8004349616,,,,1,30,,,,0,,,,0,440314,"POMPANO BEACH, FL 33064",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1044,Arlene Haywood,,,,,,,,,,,,,1,30,,,,0,,,,0,,,None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1047,AT & T,PO BOX 105262,,ATLANTA,GA,30348-5262,,,,,,,,1,30,,,,0,,,,0,56162401772020459,"ATLANTA, GA 30348-5262",None,Day 30, ,Yes,Utiliites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1048,AT & T MOBILITY,P.O. BOX 6463,,CAROL STREAM,IL,60197-6463,,,,,,,,1,30,,,,0,,,,0,,"CAROL STREAM, IL 60197-6463",None,Day 30, ,Yes,Utiliites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1057,BB&T,,,,,,,,,,,,,1,30,,,,0,,,,0,,,None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
