ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
90502,3001,2406,9/15/2016,1,8,1,0,12/30/1899,12/30/1899,0,0,,0,,0,0,
90547,3033,2820,9/15/2016,1,8,1,7.95,12/30/1899 4:00:00 PM,12/30/1899 12:27:00 AM,0.5,0,10,0,11008,0,0,
90565,3033,2955,9/15/2016,1,8,1,7.93,12/30/1899 4:00:00 PM,12/30/1899 12:26:00 AM,0.5,0,13,0,11029,0,0,
90657,1037,1549,9/15/2016,1,5,1,2.27,12/30/1899 7:00:00 AM,12/30/1899 9:16:00 AM,0,0,8.05,0,10870,0,0,
90658,1033,1549,9/15/2016,1,8,1,0,12/30/1899,12/30/1899,0,0,,0,,0,0,
90659,1074,1549,9/15/2016,1,5,1,1.82,12/30/1899 11:10:00 AM,12/30/1899 12:59:00 PM,0,0,8.05,0,10870,0,0,
90667,4040,3088,9/15/2016,1,5,1,2.92,12/30/1899 8:36:00 AM,12/30/1899 11:31:00 AM,0,0,15,0,11079,0,0,
90671,5013,9034,9/15/2016,45,8,1,3.07,12/30/1899 8:45:00 AM,12/30/1899 11:49:00 AM,0,0,9,0,10785,0,0,
90672,5013,9058,9/15/2016,45,5,1,3.23,12/30/1899 6:35:00 AM,12/30/1899 9:49:00 AM,0,0,8.5,0,10790,0,0,
90673,5013,9085,9/15/2016,45,8,1,5.37,12/30/1899 6:25:00 AM,12/30/1899 11:47:00 AM,0,0,9,0,10804,0,0,
90674,5013,9087,9/15/2016,45,5,1,4.43,12/30/1899 8:02:00 AM,12/30/1899 12:28:00 PM,0,0,8.5,0,10805,0,0,
90761,3001,1780,9/15/2016,1,8,1,0,12/30/1899,12/30/1899,0,0,,0,,0,0,
90762,1003,186,9/15/2016,1,5,1,7.97,12/30/1899 7:00:00 AM,12/30/1899 3:28:00 PM,0.5,0,11,0,10808,0,0,
90763,1003,357,9/15/2016,1,5,1,7.97,12/30/1899 7:00:00 AM,12/30/1899 3:28:00 PM,0.5,0,8.5,0,10809,0,0,
90764,3008,512,9/15/2016,1,5,1,8.12,12/30/1899 5:44:00 AM,12/30/1899 2:21:00 PM,0.5,0,8.05,0,10811,0,0,
90765,3000,610,9/15/2016,1,5,1,6.38,12/30/1899 8:00:00 AM,12/30/1899 2:53:00 PM,0.5,0,8.05,0,10813,0,0,
90766,3000,618,9/15/2016,1,5,1,6.52,12/30/1899 8:00:00 AM,12/30/1899 3:01:00 PM,0.5,0,8.05,0,10814,0,0,
90767,3000,676,9/15/2016,1,5,1,6.5,12/30/1899 8:00:00 AM,12/30/1899 3:00:00 PM,0.5,0,8.05,0,10820,0,0,
90768,3000,801,9/15/2016,1,5,1,8.02,12/30/1899 6:00:00 AM,12/30/1899 2:31:00 PM,0.5,0,9,0,10824,0,0,
90769,3012,827,9/15/2016,1,5,1,8,12/30/1899 7:30:00 AM,12/30/1899 4:00:00 PM,0.5,0,8.05,0,10827,0,0,
