ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
112147,5011,2850,11/29/2016,1,5,1,7.97,12/30/1899 6:30:00 AM,12/30/1899 2:58:00 PM,0.5,0,8.75,0,13679,0,0,
112148,1055,2950,11/29/2016,1,5,1,1.93,12/30/1899 4:00:00 PM,12/30/1899 5:56:00 PM,0,0,9,0,13692,0,0,
112149,3046,2991,11/29/2016,1,5,1,7.07,12/30/1899 8:28:00 AM,12/30/1899 4:02:00 PM,0.5,0,8.75,0,13705,0,0,
112150,3045,3021,11/29/2016,1,5,1,8,12/30/1899 7:05:00 AM,12/30/1899 3:35:00 PM,0.5,0,9,0,13715,0,0,
112151,3045,3022,11/29/2016,1,5,1,8.02,12/30/1899 7:00:00 AM,12/30/1899 3:31:00 PM,0.5,0,8.5,0,13716,0,0,
112152,3045,3026,11/29/2016,1,5,1,8,12/30/1899 7:00:00 AM,12/30/1899 3:30:00 PM,0.5,0,13.5,0,13719,0,0,
112153,3027,3040,11/29/2016,1,5,1,8.13,12/30/1899 6:21:00 AM,12/30/1899 2:59:00 PM,0.5,0,11,0,13722,0,0,
112154,3000,3052,11/29/2016,1,5,1,7.53,12/30/1899 7:30:00 AM,12/30/1899 3:32:00 PM,0.5,0,8.05,0,13728,0,0,
112155,3045,3070,11/29/2016,1,5,1,8.17,12/30/1899 5:26:00 AM,12/30/1899 2:06:00 PM,0.5,0,8.5,0,13731,0,0,
112156,3016,3143,11/29/2016,1,5,1,8.08,12/30/1899 6:04:00 AM,12/30/1899 2:39:00 PM,0.5,0,14,0,13751,0,0,
112157,1058,3156,11/29/2016,1,8,1,4.15,12/30/1899 5:51:00 PM,12/30/1899 10:00:00 PM,0,0,9,0,13758,0,0,
112158,3000,3162,11/29/2016,1,5,1,7.52,12/30/1899 7:30:00 AM,12/30/1899 3:31:00 PM,0.5,0,8.05,0,13760,0,0,
112159,3008,3173,11/29/2016,1,5,1,0,12/30/1899 5:37:00 PM,,0,0,,0,,0,0,
112160,4500,3174,11/29/2016,9,5,1,7.73,12/30/1899 8:32:00 AM,12/30/1899 4:46:00 PM,0.5,0,18,0,13880,0,0,
